space_id,space_type,stage,next_default,title_vi,title_en,question_vi,question_en,desc_war_time_vi,desc_war_time_en,desc_subsidy_vi,desc_subsidy_en,desc_reform_vi,desc_reform_en,desc_digital_native_vi,desc_digital_native_en,effects_common,effects_war_time,effects_subsidy,effects_reform,effects_digital_native,option_1_label_vi,option_1_label_en,option_1_next,option_1_effects,option_2_label_vi,option_2_label_en,option_2_next,option_2_effects,option_3_label_vi,option_3_label_en,option_3_next,option_3_effects,notes
21,optional_choice,,22,Tự thưởng,Self-Reward,"Khi bạn làm được một việc đáng tự hào, bạn thường tự thưởng bằng gì nhất?","When you accomplish something you are proud of, how do you usually reward yourself?","Tự thưởng thường giản dị, ưu tiên trách nhiệm và nhu cầu thiết yếu hơn là hưởng thụ cá nhân.","Self-reward is often modest, prioritizing duty and essentials over personal indulgence.","Tự thưởng thường thực tế và tiết kiệm, hay chọn thứ hữu dụng hoặc để dành cho gia đình.","Self-reward tends to be practical and frugal, often choosing something useful or saving for family.","Tự thưởng rõ hơn như một cách tự động viên, có thể là mua món mình thích hoặc một trải nghiệm nhỏ.","Self-reward becomes more visible as motivation, such as buying something desired or a small experience.","Tự thưởng hay gắn với trải nghiệm và tiện ích nhanh, đôi khi là đồ công nghệ hoặc dịch vụ số.","Self-reward often leans toward experiences and instant convenience, sometimes tech items or digital services.",,,,,,Mình xứng đáng mà!,We deserve it!,22,money:-4;happiness:+4,Để dành tốt hơn!,Better save it!,22,money:+4;happiness:-4,,,,,Original Description: Workplace Experience | Original Action: Stat change
22,optional_choice,,23,Học lên cao,Higher Education,"Nếu có cơ hội học tiếp, bạn sẽ học gì và để làm gì?","If you had the chance to study further, what would you study and what for?","Học lên cao là cơ hội hiếm, thường gắn với danh dự, trách nhiệm và con đường ổn định.","Further study is a rare opportunity, often tied to honor, responsibility, and a stable path.",Học lên cao thường gắn với vị trí ổn định và sự công nhận chính thức trong lộ trình rõ ràng.,Further study is often linked to stable placement and official recognition within a clear track.,"Học lên cao là cách mở cơ hội và vươn lên, bằng cấp được xem như đòn bẩy nghề nghiệp.","Further study is a way to open opportunities and move up, with degrees seen as a career lever.","Học lên cao có nhiều dạng, kể cả học online, ưu tiên kỹ năng áp dụng được và hướng đi linh hoạt.","Further study takes many forms, including online learning, prioritizing usable skills and flexible pathways.",,,,,,Học thêm càng tốt!,Knowledge is power!,23,money:-3;experience:+2,Không cần lắm,Can do without it,23,,,,,,Original Description: Higher Education | Original Action: Stat change (only if have uni degree)
23,life_card,,24,Cả nhà đi chơi!,Family Vacation,,,"Đi chơi thường gần và giản dị, thăm người thân hoặc đi nơi quen, quý nhất là được ở bên nhau.","Outings are often nearby and simple, visiting relatives or familiar places, with togetherness valued most.","Đi chơi thường tiết kiệm và thực tế, hay về quê hoặc hoạt động gắn kết hơn là đi xa.","Trips tend to be budget-conscious and practical, often hometown visits or bonding activities rather than going far.","Đi du lịch phổ biến hơn, có thể dành dụm để đi xa, trải nghiệm mới trở thành kỷ niệm đáng giá.","Travel becomes more common, saving up to go farther, with new experiences becoming valued memories.","Đi chơi gắn với đặt vé nhanh, xem đánh giá, chụp hình và chia sẻ, ưu tiên trải nghiệm “đáng thử”.","Trips are tied to fast booking, reviews, photos, and sharing, prioritizing “worth it” experiences.",draw:life,happiness:+3,happiness:+2,happiness:+1,happiness:+1,,,,,,,,,,,,,Original Description: Family Story | Original Action: Draw a LIFE card
24,stat,,25,Kiệt sức!,Burnout!,"Khi bạn thấy kiệt sức, dấu hiệu đầu tiên của bạn là gì, và bạn thường làm gì để hồi lại?","When you feel burned out, what is your first sign, and what do you do to recover?","Kiệt sức thường bị chịu đựng cho qua, ưu tiên hoàn thành việc trước rồi mới nghỉ.","Burnout is often pushed through, prioritizing finishing duties before resting.","Kiệt sức hay được xử lý bằng kỷ luật và nhịp sinh hoạt, dựa vào gia đình hoặc tập thể để trụ vững.","Burnout is often managed through discipline and routine, leaning on family or the collective to keep going.","Kiệt sức gắn với áp lực làm nhiều và vươn lên, cần học cách cân bằng để tránh quá tải dài hạn.","Burnout links to pressure to work more and move up, requiring balance to avoid long-term overload.","Kiệt sức dễ đến từ trạng thái luôn kết nối và quá tải thông tin, cần ranh giới rõ và nghỉ ngơi thật sự.","Burnout is amplified by always-on connectivity and information overload, needing clear boundaries and real rest.",,health:-4,health:-3,health:-2,health:-2,,,,,,,,,,,,,Original Description: Personal Experience | Original Action: Stat change
25,checkpoint,,,Ngã rẽ nhà ở,Pick a housing option,"Khi chọn chỗ ở, bạn ưu tiên điều gì nhất, và vì sao?","When choosing where to live, what is your top priority, and why?","Ưu tiên sự an toàn và ở gần người thân, nhà là chỗ nương tựa và gắn kết.","Prioritizes safety and staying close to family, home is a place of support and connection.","Ưu tiên ổn định và tiện sinh hoạt, gần nơi làm việc và hợp nề nếp gia đình.","Prioritizes stability and daily convenience, often near work and aligned with family routines.","Ưu tiên tính thực dụng và khả năng “an cư”, cân giữa vị trí, giá cả và cơ hội vươn lên.","Prioritizes practicality and settling down, balancing location, cost, and upward mobility.","Ưu tiên sự linh hoạt và riêng tư, cân giữa chi phí, thời gian di chuyển và phong cách sống.","Prioritizes flexibility and privacy, balancing cost, commute time, and lifestyle.",,,,,,Đi mua nhà,Buy a Home,26,money:-4@turns:8;set_housing:buy,Đi thuê nhà,Rent a Home,30,set_housing:rent;money:-2@per_turn,Ở với gia đình,Live with Family,34,set_housing:family_home,"Original Description: Pick Housing Route | Original Action: Pick based on income available | Original Next Space: Depends on choice (26 - Buy, 30 - Rent, or 34 - Move in)"
26,stat,,27,Đi mua nhà,Buying a home,"Khi mua nhà, bạn nghĩ yếu tố quan trọng nhất là gì?","When buying a home, what do you think is the most important factor?","Quan trọng nhất là an toàn và bền chắc, mái che vững và đủ chỗ cho gia đình.","Most important is safety and durability, a solid shelter with space for family.","Quan trọng nhất là ổn định và tiện ích cơ bản, gần chỗ làm và dễ sinh hoạt lâu dài.","Most important is stability and basic utilities, near work and workable long-term.","Quan trọng nhất là vị trí và khả năng chi trả, mua để an cư và giữ giá trị.","Most important is location and affordability, buying to settle and preserve value.","Quan trọng nhất là khả năng trả nợ và chất lượng sống, cân giữa tiện nghi, kết nối và tương lai.","Most important is loan affordability and quality of life, balancing comfort, connectivity, and future plans.",,money:-2,money:-3,money:-4,money:-4,,,,,,,,,,,,,Original Description: Buy Space 1 | Original Action: Stat change
27,era_card,,28,Bất động sản bất ổn,Real Estate Market,,,"Nhà ở gắn với thiếu thốn và biến động, nhiều gia đình sống chung và ưu tiên chỗ ở an toàn.","Housing is shaped by scarcity and instability, many households share space and prioritize safety.","Nhà ở gắn với phân bổ và tập thể, “có chỗ ở” quan trọng hơn chuyện mua bán thị trường.","Housing is tied to allocation and collective living, having a place matters more than market buying and selling.","Thị trường bắt đầu sôi động, giá tăng nhanh theo đô thị hóa, mua nhà thành mục tiêu lớn.","The market becomes active, prices rise with urbanization, home ownership becomes a major goal.","Giá nhà cao và cạnh tranh, áp lực khả năng chi trả lớn, thị trường biến động và dễ bị đầu cơ.","Prices are high and competitive, affordability pressure is heavy, the market is volatile and often speculative.",draw:era,,,,,,,,,,,,,,,,,Original Description: Buy Space 2 | Original Action: Draw an ERA card
28,stat,,29,Nhà xuống cấp,Fixer Upper,"Khi dọn vào nhà mới, bạn sẽ sửa hoặc nâng cấp điều gì đầu tiên?","When moving into a new home, what would you fix or upgrade first?","Ưu tiên an toàn và che chắn, mái, nền, cửa, chống dột và chống ẩm.","Prioritizes safety and protection, roof, floor, doors, stopping leaks and dampness.","Ưu tiên tiện nghi cơ bản, điện nước, bếp, chỗ ngủ và sắp xếp gọn gàng.","Prioritizes basic utilities, electricity and water, kitchen, sleeping space, and tidy layout.","Ưu tiên tiện dụng và thẩm mỹ vừa đủ, bếp, nhà vệ sinh, sơn sửa, đồ dùng thiết yếu.","Prioritizes usability with decent aesthetics, kitchen, bathroom, repainting, essential furnishings.","Ưu tiên kết nối và không gian sống, mạng, bàn làm việc, cách âm, ánh sáng và lưu trữ.","Prioritizes connectivity and living setup, internet, workspace, sound control, lighting, and storage.",,health:-2,health:-2,health:-2,health:-2,,,,,,,,,,,,,Original Description: Buy Space 3 | Original Action: Stat change
29,life_card,,38,Áp lực nợ,Debt Pressure,,,"Nợ lớn là rủi ro, thường ưu tiên chắc chắn và tránh mạo hiểm cho cả nhà.","Big debt feels risky, often prioritizing certainty and avoiding danger for the household.","Nợ lớn dễ gây bất an, thường muốn có kế hoạch rõ và “đứng vững” trước khi vay.","Big debt can feel unsafe, often wanting a clear plan and stability before borrowing.","Nợ lớn có thể chấp nhận nếu mở đường an cư, miễn là tính toán được và có lối thoát.","Big debt can be acceptable if it enables settling down, as long as it is calculated and has an exit path.","Nợ lớn được cân như một chiến lược, nhưng nhạy với áp lực dài hạn và rủi ro biến động thu nhập.","Big debt is weighed as a strategy, but long-term pressure and income volatility feel risky.",draw:life,happiness:-2,happiness:-2,happiness:-3,happiness:-4,,,,,,,,,,,,,Original Description: Buy Space 4 | Original Action: Draw a LIFE card
30,stat,,31,Đi thuê nhà,Renting,Bạn nghĩ thuê nhà là lựa chọn tạm thời hay có thể là một cách sống lâu dài?,"Do you see renting as temporary, or can it be a long-term way of living?","Thuê nhà thường là tạm bợ, ai cũng muốn có chỗ ở ổn định và gần người thân.","Renting feels temporary, stability and family proximity are preferred.","Thuê nhà là giải pháp khi chưa có điều kiện, ưu tiên là ổn định và ít thay đổi.","Renting is a stopgap when conditions are limited, stability and fewer changes are preferred.","Thuê nhà có thể là bước đệm để dành dụm mua nhà, nhưng vẫn hướng tới an cư.","Renting can be a bridge to save for buying, but the goal is still to settle.","Thuê nhà có thể là lựa chọn linh hoạt, miễn là phù hợp ngân sách, tiện đi lại và chất lượng sống.","Renting can be a flexible choice, as long as it fits budget, commute, and quality of life.",,money:-1,money:-2,money:-3,money:-3,,,,,,,,,,,,,Original Description: Rent Space 1 | Original Action: Stat change
31,era_card,,32,Chưa ổn định,Still Exploring,,,"Biến động và trách nhiệm gia đình, hoàn cảnh thay đổi khiến phải di chuyển hoặc sống chung.","Instability and family duties, changing circumstances force moves or shared living.","Phân công công việc và điều kiện nhà ở, nhiều thứ phụ thuộc sắp xếp của gia đình hoặc tập thể.","Work assignment and housing conditions, many things depend on family or collective arrangements.","Cơ hội việc làm và mục tiêu an cư, vừa muốn tiến lên vừa phải tính toán tài chính.","Job opportunities and settling goals, balancing ambition with financial planning.","Công việc linh hoạt và chi phí, thay đổi chỗ ở theo dự án, giá thuê, hoặc lối sống.","Flexible work and costs, moving with projects, rent prices, or lifestyle.",draw:era,,,,,,,,,,,,,,,,,Original Description: Rent Space 2 | Original Action: Draw an ERA card
32,stat,,33,Mâu thuẫn khi ở thuê,Housemates & Landlord Conflicts,Xung đột ở chung thường bắt đầu từ chuyện gì nhất trong nhà?,What most often triggers conflicts when living together?,"Xung đột hay đến từ nề nếp và vai vế, cách ứng xử, tôn trọng và việc nhà.","Conflicts often come from hierarchy and norms, behavior, respect, and chores.","Xung đột hay đến từ chia sẻ không gian và tài nguyên, giờ giấc, vệ sinh, dùng chung đồ.","Conflicts often come from shared space and resources, schedules, cleanliness, shared items.","Xung đột hay đến từ tiền bạc và ranh giới, đóng góp chi phí, tiếng ồn và khác thói quen.","Conflicts often come from money and boundaries, splitting costs, noise, and different habits.","Xung đột hay đến từ riêng tư và giao tiếp, quy tắc chung, bạn bè tới chơi và thời gian yên tĩnh.","Conflicts often come from privacy and communication, shared rules, visitors, and quiet time.",,happiness:-2,happiness:-3,happiness:-3,happiness:-2,,,,,,,,,,,,,Original Description: Rent Space 3 | Original Action: Stat change
33,life_card,,38,Nay đây mai đó,Here Today Gone Tomorrow,,,"Di chuyển thường vì hoàn cảnh, nên ưu tiên chỗ ở an toàn hơn là trải nghiệm.","Mobility is often driven by necessity, safety matters more than experience.","Di chuyển thường theo công việc và sắp xếp, mục tiêu là ổn định chứ không phải đổi chỗ cho vui.","Mobility often follows work and arrangements, the goal is stability rather than novelty.","Di chuyển có thể là để tìm cơ hội tốt hơn, chấp nhận tạm bợ trong giai đoạn vươn lên.","Moving can be to chase better opportunities, temporary living is accepted during upward phases.","Di chuyển có thể là lối sống, thích linh hoạt và trải nghiệm, nhưng vẫn cần điểm tựa và ranh giới riêng.","Mobility can be a lifestyle, valuing flexibility and experiences, but still needing a base and boundaries.",draw:life,,,,,,,,,,,,,,,,,Original Description: Rent Space 4 | Original Action: Draw a LIFE card
34,stat,,35,Ở với gia đình,Move back in,Bạn cảm thấy thế nào khi sống chung lại với gia đình trong một thời gian?,How do you feel about moving back in with family for a period of time?,"Sống chung là điều bình thường, gắn với trách nhiệm và chăm lo lẫn nhau.","Living together is normal, tied to duty and mutual care.","Sống chung là thực tế và tiết kiệm, miễn là giữ nề nếp và hòa khí.","Living together is practical and cost-saving, as long as routines and harmony are maintained.","Sống chung có thể là giải pháp để dành dụm, nhưng dễ căng vì khác thói quen và kỳ vọng.","Living together can help save, but friction grows from different habits and expectations.","Sống chung là lựa chọn khó vì riêng tư, nhưng đôi khi cần thiết do chi phí và mục tiêu ngắn hạn.","Living together can feel hard due to privacy, but sometimes necessary for cost and short-term goals.",,money:+3,money:+2,money:+2,money:+1,,,,,,,,,,,,,Original Description: Move In Space 1 | Original Action: Stat change
35,life_card,,36,Nhà đông người!,Full House!,,,"Thường vì vai vế và trách nhiệm, ai lo việc gì, ai được ưu tiên và cách nói chuyện.","Often due to hierarchy and duties, who does what, who gets priority, and communication tone.","Thường vì thiếu không gian và phân chia dùng chung, giờ giấc, vệ sinh và quyền lợi.","Often due to limited space and shared-use rules, schedules, cleanliness, and fairness.","Thường vì tiền bạc và quan điểm sống, đóng góp, nuôi con, chi tiêu và áp lực thành công.","Often due to money and lifestyle views, contributions, parenting, spending, and success pressure.","Thường vì riêng tư và lối sống, tiếng ồn, thời gian cá nhân, thiết bị và ranh giới.","Often due to privacy and lifestyle, noise, personal time, devices, and boundaries.",draw:life,,,,,,,,,,,,,,,,,Original Description: Move In Space 2 | Original Action: Draw a LIFE card
36,life_card,,37,Nhiều thời gian rảnh,Great Savings!,,,"Tiết kiệm bằng cách dùng bền, sửa chữa, tận dụng lại và chia sẻ trong nhà.","Saving comes from durability, repairing, reusing, and sharing within the household.","Tiết kiệm bằng kế hoạch và kỷ luật, mua đúng cần, nấu tại nhà và hạn chế lãng phí.","Saving comes from planning and discipline, buying only what is needed, home cooking, reducing waste.","Tiết kiệm bằng ngân sách rõ ràng, so sánh giá, mua theo đợt và ưu tiên khoản lớn.","Saving comes from clear budgeting, price comparison, batch buying, prioritizing big expenses.","Tiết kiệm bằng theo dõi chi tiêu, săn ưu đãi, tối ưu dịch vụ và cắt bớt thứ không cần.","Saving comes from tracking spending, using discounts, optimizing services, cutting unnecessary items.",draw:life,,,,,,,,,,,,,,,,,Original Description: Move In Space 3 | Original Action: Draw a LIFE card
37,stat,,38,Thiếu tự do riêng,No Independence,"Bạn coi trọng quyền riêng tư trong nhà đến mức nào, và ranh giới quan trọng nhất của bạn là gì?","How important is privacy at home to you, and what is your most important boundary?","Riêng tư thường đứng sau tập thể và gia đình, nhưng vẫn cần tôn trọng và giữ ý trong lời nói.","Privacy often comes after family and community, but respect and careful speech still matter.","Riêng tư có nhưng gắn với nề nếp, quan trọng là biết điều và giữ hòa khí trong nhà.","Privacy exists but follows household norms, the key is propriety and harmony.","Riêng tư ngày càng được coi trọng, cần không gian riêng và quyền tự quyết trong sinh hoạt.","Privacy becomes more valued, needing personal space and autonomy in daily routines.","Riêng tư rất quan trọng, cần ranh giới rõ ràng về thời gian cá nhân, không gian, và quyền được yên tĩnh.","Privacy is highly valued, needing clear boundaries on personal time, space, and the right to quiet.",,happiness:-1,happiness:-2,happiness:-4,happiness:-3,,,,,,,,,,,,,Original Description: Move In Space 4 | Original Action: Stat change
38,hobby_choice,,39,Chọn sở thích!,Pick a hobby!,"Nếu chỉ được chọn một sở thích để theo lâu dài, bạn sẽ chọn gì và vì sao?","If you could choose only one hobby to stick with long-term, what would it be and why?","Sở thích thường giản dị và ít tốn kém, thiên về hoạt động gắn với cộng đồng, gia đình, và sự bền bỉ.","Hobbies tend to be simple and low-cost, leaning toward community, family, and long-lasting routines.","Sở thích hay mang tính tập thể hoặc thực tế, ưu tiên giải trí nhẹ và dễ duy trì trong sinh hoạt thường ngày.","Hobbies often feel collective or practical, favoring light entertainment that fits daily routines.","Sở thích đa dạng hơn khi đời sống mở ra, nhiều người chọn hoạt động để giải tỏa áp lực và mở rộng quan hệ.","Hobbies diversify as life opens up, often used for stress relief and expanding social circles.","Sở thích có thể gắn với online và cá nhân hóa, dễ theo xu hướng và kết hợp với nội dung số.","Hobbies can be online and personalized, trend-driven and mixed with digital content.",,,,,,,,,,,,,,,,,,Original Description: Mid-life Reality Check | Original Action: Pick from list
39,era_card,,40,Biến đổi xã hội,Tides of Change,,,"Thay đổi lớn thường gắn với chiến tranh và biến động, khiến người ta ưu tiên an toàn, gia đình, và sự chịu đựng.","Major change is often tied to war and upheaval, prioritizing safety, family, and endurance.","Thay đổi lớn gắn với đời sống thiếu thốn và phân phối, hình thành thói quen tiết kiệm, chờ đợi, và nương tựa tập thể.","Major change is shaped by rationing and scarcity, building habits of saving, waiting, and relying on the collective.","Thay đổi lớn gắn với mở cửa và thị trường, hàng hóa, nghề nghiệp, và cơ hội tăng nhanh, nhịp sống cũng nhanh hơn.","Major change comes with opening and market growth, with goods, jobs, and opportunities rising quickly and life speeding up.","Thay đổi lớn gắn với internet và mạng xã hội, thông tin nhanh, kết nối liên tục, và áp lực so sánh tăng mạnh.","Major change is driven by the internet and social media, faster information, constant connection, and stronger comparison pressure.",draw:era,,,,,,,,,,,,,,,,,Original Description: Era Event | Original Action: Draw an ERA card
40,occupation_choice,,41,Đổi việc,Change of Occupation,"Điều gì khiến bạn quyết định đổi nghề hoặc ở lại, nêu một lý do quan trọng nhất?","What makes you decide to change jobs or stay, name the single most important reason.","Thường ưu tiên trách nhiệm và ổn định, đổi nghề hay do hoàn cảnh ép buộc hoặc để bảo vệ gia đình.","Often prioritizes duty and stability, job changes happen when forced by circumstances or to protect family.","Thường coi trọng vị trí chắc chắn và nề nếp, đổi nghề là chuyện lớn và thường chỉ khi không còn lựa chọn.","Often values secure placement and routine, changing jobs is major and usually only when there is no other option.","Thường đổi nghề để tăng thu nhập hoặc nắm cơ hội mới, sẵn sàng thử hướng khác nếu thấy có đường lên.","Often changes jobs to raise income or seize new opportunities, willing to pivot if it enables upward movement.","Thường đổi nghề vì sự phù hợp và phát triển, ưu tiên linh hoạt, học kỹ năng mới, và tránh kiệt sức dài hạn.","Often changes jobs for fit and growth, prioritizing flexibility, new skills, and avoiding long-term burnout.",,,,,,,,,,,,,,,,,,Original Description: Occupation Change | Original Action: Pick based on education (diploma) and experience
41,stat,,42,Tín ngưỡng,Belief and Faith,"Niềm tin hoặc tín ngưỡng có vai trò gì trong đời bạn, và bạn thể hiện nó như thế nào nếu có?","What role do belief or faith play in your life, and how do you express it if at all?","Niềm tin thường gắn với truyền thống gia đình và cộng đồng, thể hiện qua nghi lễ, thờ cúng, và đạo lý sống.","Belief often ties to family and community tradition, expressed through rituals, ancestor worship, and moral values.","Niềm tin thường kín đáo và thực hành trong gia đình, giữ các nếp lễ và sự kiêng kỵ quen thuộc.","Belief is often private and practiced within the household, keeping familiar rituals and taboos.","Niềm tin đa dạng hơn và có thể cởi mở hơn, vừa giữ truyền thống vừa tiếp nhận nhiều ảnh hưởng mới.","Belief becomes more diverse and sometimes more open, keeping tradition while absorbing new influences.","Niềm tin có thể mang tính cá nhân hóa, tìm hiểu qua mạng, tham gia cộng đồng online, hoặc chọn cách sống không tôn giáo.","Belief can be individualized, explored online, joined through digital communities, or expressed as a non-religious lifestyle.",,happiness:+4,happiness:+3,happiness:+2,happiness:+1,,,,,,,,,,,,,Original Description: Spirituality | Original Action: Stat change
42,life_card,,43,Khủng hoảng tuổi trung niên,Mid-Life Crisis,,,"Chông chênh thường đến từ sức khỏe và gánh nặng gia đình, ưu tiên là giữ bình yên và chăm lo người thân.","Unsteadiness often comes from health and family burdens, prioritizing keeping peace and caring for loved ones.","Chông chênh thường đến từ áp lực ổn định và trách nhiệm, vượt qua bằng kỷ luật, chịu đựng, và nương vào gia đình.","Unsteadiness often comes from stability pressure and responsibility, managed through discipline, endurance, and family support.","Chông chênh thường đến từ áp lực thành công, nợ nần, và lo cho hai đầu thế hệ, cần cân bằng giữa công việc và đời sống.","Unsteadiness often comes from success pressure, debt, and sandwich responsibilities, requiring balance between work and life.","Chông chênh thường đến từ kiệt sức và so sánh, cảm giác tụt hậu, cần ranh giới rõ, chăm sóc sức khỏe tinh thần, và điều chỉnh mục tiêu.","Unsteadiness often comes from burnout and comparison, fear of falling behind, needing boundaries, mental health care, and goal resets.",draw:life,happiness:-2,happiness:-2,happiness:-4,happiness:-3,,,,,,,,,,,,,Original Description: Life Event | Original Action: Draw a LIFE card
43,stat,,44,Lên chức!,Career Moving Up!,"Theo bạn, cách hiệu quả nhất để thăng tiến là gì, và bạn sẽ làm bước nào trước?","What is the most effective way to move up in a career, and what first step would you take?","Thăng tiến dựa vào uy tín và sự bền bỉ, làm tốt việc mình làm, giữ chữ tín và được người đi trước công nhận.","Advancement relies on reputation and perseverance, doing your job well, keeping trust, and earning senior recognition.","Thăng tiến dựa vào nề nếp và quan hệ trong tổ chức, làm đúng quy trình, tích lũy thâm niên, và được tập thể tin.","Advancement relies on organizational norms and relationships, following procedure, building tenure, and earning collective trust.","Thăng tiến dựa vào kết quả và cơ hội, học thêm, mở quan hệ, nhận việc khó để chứng minh năng lực.","Advancement relies on results and opportunity, upskilling, networking, taking hard tasks to prove capability.","Thăng tiến dựa vào kỹ năng cập nhật và minh chứng rõ, xây dự án, hồ sơ sản phẩm, thương lượng tốt, và chọn môi trường phù hợp.","Advancement relies on up-to-date skills and clear proof, building projects and a portfolio, negotiating well, and choosing the right environment.",,money:+3;experience:+2,money:+3;experience:+1,money:+2;experience:+2,money:+2;experience:+1,,,,,,,,,,,,,Original Description: Promotion? | Original Action: Stat change
44,checkpoint,,,Hẹn hò hay không?,To date or not to date?,"Bạn nghiêng về hẹn hò hay độc thân ở giai đoạn này, và vì sao?","Do you lean toward dating or staying single at this stage, and why?","Hẹn hò thường gắn với lập gia đình và trách nhiệm, ưu tiên sự nghiêm túc và ổn định hơn là thử nghiệm.","Dating is often tied to marriage and duty, prioritizing seriousness and stability over experimentation.","Hẹn hò thường được nhìn qua lăng kính ổn định và nề nếp, kỳ vọng rõ ràng về hôn nhân và vai trò.","Dating is often viewed through stability and norms, with clear expectations around marriage and roles.","Hẹn hò có nhiều lựa chọn hơn, vừa coi trọng tình cảm vừa cân nhắc cơ hội sống và áp lực kinh tế.","Dating has more options, valuing feelings while weighing life opportunities and economic pressure.","Hẹn hò mang tính lựa chọn cá nhân cao, có thể ưu tiên hợp gu và tự do, đồng thời ngại ràng buộc sớm.","Dating is highly individualized, often prioritizing compatibility and freedom while avoiding early commitment.",,,,,,Độc thân,Stay Single,45,set_relationship:single;happiness:+1@per_turn,Hẹn hò,Start Dating,53,set_relationship:dating;happiness:+1@per_turn,,,,,Original Description: Relationship Status | Original Action: Pick relationship status | Original Next Space: Depends on choice (45 - Single or 53 - Dating)
45,stat,,47,Độc thân vui tính,Single but won't Mingle,Điều gì thường khiến bạn chọn ở một mình thay vì hẹn hò?,What usually makes you choose being single instead of dating?,"Thường vì trách nhiệm gia đình và hoàn cảnh, đôi khi là mất mát hoặc ưu tiên sự yên ổn.","Often due to family responsibilities and circumstances, sometimes loss or prioritizing peace.","Thường vì lo ổn định và tránh rủi ro, ngại rắc rối và muốn giữ nề nếp cuộc sống.","Often due to seeking stability and avoiding risk, disliking complications and keeping routine.","Thường vì tập trung cho sự nghiệp và điều kiện sống, hoặc chưa muốn ràng buộc khi đang vươn lên.","Often due to focusing on career and living conditions, or avoiding commitment while moving up.","Thường vì ưu tiên phát triển bản thân, chọn tự do, hoặc không tìm thấy người phù hợp trong nhịp sống nhanh.","Often due to self-development, choosing freedom, or not finding a good match in a fast-paced life.",,happiness:-3,happiness:-2,happiness:+3,happiness:+2,,,,,,,,,,,,,Original Description: Single Space 1 | Original Action: Stat change
